,aro_llm,cor_llm,marca_llm,tamanho_do_quadro_llm,genero_llm,tipo_llm,material_do_quadro_llm,modelo_llm,aro_de_roda_llm,numero_de_marchas_llm,tipo_de_suspensao_llm,recursos_llm,alimentacao_llm,potencia_do_motor_llm,tema_llm,modalidade_llm,tamanho_llm,peso_suportado_llm,adicional_llm,tipo_de_freio_llm,title
32,29,Não informado,Absolute,Não informado,Não informado,Urbana,Alumínio,Nero 4,29,27,80mm Sem Trava,Não informado,Não informado,Não informado,Não informado,Passeio,Não informado,Não informado,Não informado,Disco,Bicicleta Absolute Nero 4 Aro 29 27V Freio a Disco Cubo K7
33,26,Preta,Houston,19,Não informado,Passeio,Aço Carbono,Foxer Hammer,26,21,Não possuí,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,V-Brake,Bicicleta Aro 26 Houston Foxer Hammer com 21 Marchas Preta FX26H3R
34,16,Não informado,Nathor,Não informado,Feminino,Infantil,Aço Carbono,Top Girls,Não informado,Não informado,Não informado,"Limitador de giro do guidão, Freios V-Brake, Maçaneta em Nylon, Pneus com câmara, Quadro em aço carbono, Garrafinha",Não informado,Não informado,Não informado,Não informado,Não informado,30 kg,Não informado,V-brake,Bicicleta Infantil Nathor Top Girls Aro 16
35,Não informado,Azul,Buba,Não informado,Não informado,Equilibrio,Não informado,4 Rodas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Bicicleta de Equilíbrio 4 Rodas Buba Azul
36,29,Não informado,GTA,Não informado,Não informado,Não informado,Alumínio,NX11,29,8,80mm de Cursor,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Hidráulico,Bike Aro 29 GTA NX11 24V Camb Shimano Altus Freio Hidráulico
37,29,Não informado,KOG,Não informado,Não informado,Mountain Bike,Alumínio,Não informado,29,21,80mm,Não informado,Não informado,Não informado,Não informado,Urbano,Não informado,Não informado,Não informado,Disco Mecânico,Bicicleta Aro 29 KOG 21V Freio a Disco Cambio Indexado
38,29,Não informado,GTI,Não informado,Não informado,MTB,Alumínio,Roma,29,21,Amortecimento a molas sem travabr,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Mecânico,Bicicleta MTB GTI Roma  Aro 29 21v
39,29,Não informado,KSW,Não informado,Não informado,Não informado,Alumínio,XLT 12v,29,12,100mm,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Toda Absolute,Hidráulico,Bicicleta Aro 29 KSW XLT 12v Freio Hidráulico Toda Absolute
40,29,Não informado,Alfameq,Não informado,Não informado,MTB,Alumínio,24V,29,24,100mm com Trava Remota No Guidão,Trava Guidão,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco Hidráulico,Bike 29 Alfameq 24V Shimano Acera Hidráulico K7 Trava Guidão
41,29,Preto,Absolute,Não informado,Não informado,Não informado,Não informado,Prime Boost,29,8 a 12,Não informado,Tubeless,Não informado,Não informado,Não informado,MTB,Não informado,90Kg,Boost 15x110 na dianteira e 12x148 na traseira,Não informado,Par Roda Absolute Prime Boost 29 Shimano 8v À 12v Tubeless
42,Não informado,Azul,Fenix,Não informado,Não informado,Não informado,Alumínio,GBK-718,Não informado,Não informado,Não informado,Manopla em borracha para não escapar as mãos,Não informado,Não informado,Não informado,Não informado,109 X 58 X 70 cm,75Kg,Com ajuste na base para ajustar certinho os pés,Não informado,Carrinho Gira Gira Bike Azul - Fenix GBK-718
43,29,Beje,KSW,Não informado,Não informado,MTB,Alumínio,XLT 24V,29,8,80mm de Cursor,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Hidráulico,Bicicleta MTB KSW XLT 24V Aro 29 Freio Hidráulico Faixa Beje
44,29,PretoVermelho,Absolute,Não informado,Não informado,Não informado,Alumínio,Nero 4,Não informado,21v,Suspensão,"Cabeamento Interno, Freio a Disco Hidráulico",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Garfo,Disco Hidráulico,Bicicleta Aro 29 Absolute Nero 4 Cabeamento Interno 21v Freio a Disco Hidráulico Alumínio Garfo Suspensão - Preto/Vermelho
45,700,Não informado,KSW,Não informado,Não informado,Speed,Alumínio,Não informado,700,16,Não informado,Não informado,Não informado,Não informado,Não informado,Road,Não informado,Não informado,Não informado,Disco Mecânico,Bicicleta Speed Road Aro 700 KSW Com Shimano Claris 2x8 16v
46,29,Não informado,GTS,Não informado,Não informado,Mountain Bike,Alumínio 7005,GTS M1 I-VTEC SX SHIMANO,29,24,Com trava no guidão,"Câmbio Shimano, Freio a disco hidráulico, Suspensão 100mm",Não informado,Não informado,Não informado,Não informado,Não informado,120kg,"CABEAMENTO INTERNO, FURAÇÃO PARA SUPORTE CARAMANHOLA, GARANTIA DE 1 ANO PARA O QUADRO",Hidráulico,Bicicleta Gts Aro 29 Freio Hidráulico Câmbios Shimano 24 Marchas e Suspensão com Trava no Guidão  GTS M1 I-VTEC SX Shimano
47,Não informado,Não informado,Trinx,Não informado,Não informado,Não informado,Alumínio,Swift 20,70025,11,Não informado,Smooth Welding,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Shimano 105 BR-5800,Bicicleta trinx swift 2.0
48,29,Preto e Verde,Raider,21,Não informado,Mountain Bike,Alumínio,Aluminum,Não informado,24,Suspensão de 100mm,"Câmbio importado, suspensão, freio a disco",Não informado,Não informado,Não informado,MTB,Não informado,Não informado,Não informado,Disco Mecânico,Bicicleta Aro 29 Raider Aluminum 24v Freio a Disco Preto e Verde Tam: 21
49,29,Não informado,Caloi,Não informado,Não informado,MTB,Alumino,Explorer Comp,29,18,Suspensão,Boost,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco Hidráulico,Bicicleta Explorer Comp Aro 29 Alivio 18v Freio a Disco Hidráulico 2021
50,29,Não informado,KOG,Não informado,Não informado,Mountain Bike,Alumínio,Não informado,29,21,80mm de Cursor,Não informado,Não informado,Não informado,Não informado,Urbano,Não informado,Não informado,Não informado,Disco Mecânico,Bicicleta Aro 29 KOG 21 Marcha Cambio Shimano Freio a Disco
51,26,Bege,MARIA CLARA BIKES,17,Não informado,Retrô,AÇO,Vintage,AERO,s,Não informado,Bagageiro,Não informado,Não informado,Não informado,Não informado,Não informado,135 kg,Vime,V-BRAKE,Bicicleta Aro 26 Retrô Vintage s/ marcha Vime Bagageiro Bege
52,29,Não informado,Kog,Não informado,Não informado,Mountain Bike,Alumínio,KSW GTA,29,27,Suspensão de 100mm com Trava no Ombro,Não informado,Não informado,Não informado,Não informado,"Urbano, Trilhas Leves e Medianas",Não informado,Não informado,Não informado,Hidráulico,Bicicleta Aro 29 Kog 27v Absolute KSW GTA Hidráulico Trava
53,29,Não informado,KSW,Não informado,Não informado,MTB,Alumínio,XLT,29,27,Trava,Cubo K7,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Freio Hidráulico,Disco Hidráulico,Bicicleta MTB Aro 29 KSW 27V Freio Hidráulico Cubo K7 Trava
54,29,PretoAzul,GTI,Não informado,Não informado,Não informado,Alumínio,Roma,29,24,Com Trava,Rapid Fire,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,K7,Disco Hidráulico,Bicicleta Aro 29 GTI Roma Shimano 24v K7 Freio a Disco Hidráulico Garfo Com Trava - Preto/Azul
55,29,Não informado,Highlevel,151719 e 21,Não informado,Não informado,Alumínio,21 Velo,Não informado,21,com molas,Não informado,Não informado,Não informado,Não informado,urbano,Não informado,Não informado,Não informado,Disco,Bicicleta Alumínio Aro 29 Highlevel Freios A Disco 21 Velo
56,29,Não informado,KSW,Não informado,Não informado,MTB,Alumínio,27V F,29,27,Suspensão de 100mm de Curso com Trava no Ombro,Hidráulico Shimano  K7  Trava,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco Hidráulico,Bicicleta Aro 29 KSW 27V F. Hidráulico Shimano + K7 + Trava
57,29,Não informado,Ksw,Não informado,Não informado,MTB,Alumínio,Xlt,29,21,80mm,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco Mecânico,Bicicleta 29 Ksw Xlt Aluminio 21v Freio a Disco
58,12,Azul/Verde/Preto,Groove,Não informado,Infantil,Balance,Aço,Balance 12,Não informado,Não informado,Não informado,"Rodas raiadas, pneus de borracha com câmara, regulagem da altura do selim, manopla com limitador, apoio para os pés",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Aprovado pelo Inmetro,Não informado,Bicicleta Infantil Groove Balance 12 Azl/Vrd/Preto
59,29,Não informado,FIRST,Não informado,Não informado,Não informado,alumínio,Smitt,Não informado,21,com trava no ombro,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco Mecânico,Bicicleta FIRST Smitt aro 29 - 21v Shimano Tourney - Freios a Disco
60,29,pretovermelho,Highone,17,Não informado,Não informado,Alumínio,Neo,29,21V,80mm de Cursor,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco Mecânico,Bicicleta aro 29 Highone Neo  Aro 29 Quadro 17 Alumínio preto/vermelho 21V .
61,29,Nero,Absolute,4,Não informado,Não informado,Alumínio,Nero 4,29,21,80mm,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,Bike Aro 29 Absolute Nero 4 21V 3x7 Freio Disco
62,26,Violeta,Dalannio,Não informado,Feminina,Beach,Aço Carbono,Não informado,Não informado,18,Não informado,"Cesta frontal de Aço, Freios V-BRAKE Alumínio, Maçaneta Alumínio, Alavanca de câmbio 18v, Cambio traseiro 18v, Cambio Dianteito 18v, Selim Largo com 2 molas, Aros Aero, Raios zincados, Cubos ferro, Guidão Alto emborrachado, Pneu Slick",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,V-BRAKE,Bicicleta Aro 26 Feminina Beach 18 Marchas Violeta
63,26,Branca,COLLI BIKE,18,Não informado,Não informado,Aço Carbono,GPS 220,Não informado,21,Em alumínio 150 mm - mola,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Até 100Kg,Não informado,FREIO À DISCO,Bicicleta Colli Bike GPS Aro 26 Freio a Disco  Branca
64,29,Não informado,GTA,Não informado,Não informado,MTB,Alumínio,NX,29,12,100mm de Curso,"Freio Hidráulico, Trava",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Hidráulico,Bicicleta Aro 29 GTA NX 12V Freio Hidráulico K7 1x12 Trava
65,26,AzulAmarelo,Vikingx Tuff,Não informado,Não informado,Não informado,Alumínio,Não informado,Não informado,21v,Não informado,Câmbios Shimano,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Freio a Disco Hidráulicos Aros Vmaxx Branco,Disco Hidráulicos,Bicicleta Aro 26 Vikingx Tuff Azul/Amarelo 21v Alumínio Câmbios Shimano Freio a Disco Hidráulicos Aros Vmaxx Branco
66,16,Não informado,Nathor,Não informado,Não informado,Não informado,Aço Carbono,Apollo 2,Não informado,Não informado,Não informado,"Limitador de giro do guidão, Freios V-Brake, Maçaneta em Nylon, Pneus com câmara, Quadro em aço carbono, Garrafinha",Não informado,Não informado,Não informado,Não informado,Não informado,30 kg,"Mesa Head-Set, Paralama em ABS, Aro em Alumínio, Maçaneta em nylon reforçado e com ajuste do freio, Movimento de direção com esferas, Arruela com trava de segurança, Abraçadeira do selim em alumínio, Garrafinha",V-Brake,Bicicleta Aro 16 Apollo 2 - Nathor
67,16,Rosa,Track Bikes,Não informado,Infantil,Não informado,Aço Carbono,Monny,Não informado,Não informado,Não informado,"Cestinha, rodinhas",Não informado,Não informado,Não informado,Não informado,Não informado,30Kg,Freio V-Brake Nylon,V-Brake,Bicicleta Infantil Track Bikes Monny com Cestinha Aro 16 Rosa
68,29,Não informado,KSW,"15, 17, 19, 21",Não informado,MTB,Alumínio,XLT,29,21,Dianteira,Não informado,Não informado,Não informado,Não informado,Urbana,Não informado,Não informado,Não informado,Disco,Bicicleta 29 KSW XLT 21 Marchas Freio a Disco Quadro Alumínio MTB
69,29,Nero,Absolute,4,Não informado,Não informado,Alumínio,Não informado,29,18,80mm,Não informado,Não informado,Não informado,Não informado,Urbano,Não informado,Não informado,Não informado,Hidráulico,Bicicleta 29 Absolute Nero 4 18 Velocidades 2x9 Hidráulico
70,20,Violeta,Drw bikes,Não informado,Feminina,Não informado,Aço Carbono,Ceci,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,80 kg,Não informado,V-brake,Bicicleta aro 20 feminina Ceci Violeta-DRW BIKES
71,29,Não informado,Ksw,Não informado,Não informado,Não informado,Alumínio,Não informado,Não informado,24,Cursor de 80mm sem trava,Não informado,Não informado,Não informado,Não informado,Urbano e trilhas leves,Não informado,Não informado,Não informado,Disco,"Bicicleta Aro 29 Ksw 24 Marchas Shimano, Freios a Disco e K7"
72,29,Não informado,Absolute,Não informado,Não informado,Não informado,Alumínio,27V,29,27,Com Trava no Guidão,Hidráulico,Não informado,Não informado,Não informado,MTB,Não informado,Não informado,Trava no Guidão,Disco Hidráulico,Bike 29 Absolute 27V Kit Alivio Hidráulico Trava no Guidão
73,16,Não informado,FlexBikes,Não informado,Feminino,Infantil,Aço,Nylon,Não informado,Não informado,Não informado,"Freios v-brake, Protetor de coroa",Não informado,Não informado,Não informado,Não informado,Não informado,25 kg,"Rodinhas laterais, Cestinha, Para-lamas",V-brake,Bicicleta Infantil Feminina Aro 16 Nylon + Kit Proteção
74,29,Não informado,KOG,Não informado,Não informado,Mountain Bike,Alumínio,Não informado,29,27,100mm com Trava no Guidão,Não informado,Não informado,Não informado,Não informado,Urbano,Não informado,Não informado,Não informado,Hidráulico,Bicicleta aro 29 KOG 27V Freio Hidráulico k7 Trava no Guidão
75,700,Não informado,KSW,Não informado,Não informado,Speed,Alumínio,Não informado,700,16,Não informado,Não informado,Não informado,Não informado,Não informado,Road,Não informado,Não informado,Não informado,Disco Mecânico,Bicicleta Speed Road Aro 700 KSW Com Shimano Claris 2x8 16v
76,29,Não informado,Ravok,Não informado,Não informado,MTB,Alumínio,Não informado,29,24,Dianteira,Não informado,Não informado,Não informado,Não informado,Passeio e Trilhas Leves,Não informado,Não informado,Não informado,Disco Mecânico,Bicicleta Aro 29 Ravok Alumínio 24 Velocidades Freio A Disco Shimano
77,29,Não informado,Alfameq,Não informado,Não informado,MTB,Alumínio,Não informado,29,27,Com Trava no Guidão,Trava Guidão,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco Hidráulico,Bike Aro 29 Alfameq 27V Kit Alivio Hidráulico Trava Guidão
78,20,Não informado,Nathor,Não informado,Não informado,Não informado,aço carbono,Harmony,Não informado,6v,Não informado,"regulagem de ângulo do guidão, movimento central avançado, freios v-brake dianteiro e traseiro, pezinho de descanso, protetor de corrente, pneus com câmara, aro em alumínio",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,v-brake,Bicicleta aro 20 Harmony - Cambio Shimano 6v - Nathor
79,29,VerdeCinza,Gta,Não informado,Não informado,Não informado,Alumínio,Insane,29,27,Com Trava,Rapid Fire,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Pré montada,Hidráulico,Bicicleta Aro 29 Gta Insane Câmbio Traseiro Shimano Alívio e Altus 27v Freio Hidráulico Garfo Com Trava - Verde/Cinza
80,29,Não informado,Dropp,Não informado,Não informado,Não informado,Alumínio,Rs1,29,21,com Trava,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,Bicicleta Aro 29 Dropp Rs1 21v Suspensão com Trava Câmbio Shimano
81,29,Preto Azul,Spaceline,15,Não informado,MTB,Alumínio,Vega,Não informado,21,80mm,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,130 Kg,Não informado,Disco Mecânico,Bicicleta MTB Vega Aro 29 Quadro 15 Alumínio 21 Marchas Freio Mecânico Preto Azul - Spaceline
82,29,Não informado,KSW,Não informado,Feminino,MTB,Alumínio,MWZA,29,21,80MM,Não informado,Não informado,Não informado,Retro,Não informado,Não informado,Não informado,Não informado,Disco,Bicicleta 29 KSW MWZA Retro Feminino 21v Shimano Freio Disco
83,20,Não informado,Tridal,14,Feminino,MTB,Aço,Girl,20,1,Não informado,Roda Lateral,Não informado,Não informado,Não informado,Infantil,Não informado,70 Kg,Cestinha e Paralamas,V-Brake,Bicicleta Aro 20 Infantil MTB Girl Com Roda Lateral
84,29,Não informado,Spaceline,Não informado,Não informado,Não informado,Alumínio 6061,Vega,29,27,Dianteira,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,Bicicleta 29 Spaceline Vega 27 Marchas Câmbio Shimano Freio a Disco e Suspensão
85,29,Não informado,Raider,"15, 17, 19, 21",Não informado,MTB,Alumínio,Z3X Pro,29,21,Suspensão,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,Bicicleta 29 Raider Z3X Pro 21V Freio a Disco e Suspensão Quadro Alumínio MTB
